Buchanan Street,55.8626,-4.2534
St enoch,55.8572,-4.2553
Hillhead,55.87583,-4.29222
Kelvinbridge,55.87417,-4.28056
Partick,55.8698,-4.3092
Govan,55.86250,-4.31139
Shields Road,55.85028,-4.27444
Kelvinhall,55.87111,-4.30056
Cowcaddens,55.86833,-4.25917
St George’s Cross,55.87194,-4.26972
Cessnock,55.85250,-4.29583
Ibrox,55.85444,-4.30528
Kinning Park,55.85083,-4.28806
Bridge Street,55.85167,-4.25861
West Street,55.84950,-4.266
